,Score,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Gen 15,Gen 16,Gen 17,Gen 18,Gen 19,Gen 20,Gen 21,Gen 22,Gen 23,Gen 24,Gen 25,Gen 26,Gen 27,Gen 28,Gen 29,Gen 30,Gen 31,Gen 32,Gen 33,Gen 34,Gen 35,Gen 36,Gen 37,Gen 38,Gen 39,Gen 40,Gen 41,Gen 42,Gen 43,Gen 44,Gen 45,Gen 46,Gen 47,Gen 48,Gen 49
0,Average,0.1,1.0,1.14,3.3,8.98,20.15,33.66,50.03,75.57,89.75,91.2,93.03,92.32,96.2,97.71,96.76,96.18,97.07,98.93,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.69,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0,Highest,1,5,10,14,43,74,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
